justice,service,retire,age,pension,pagree
1,1,0,44,0,1
1,2,0,45,0,1
1,3,0,46,0,1
1,4,0,47,0,1
1,5,0,48,0,1
1,6,0,49,0,1
1,7,1,50,0,1
2,1,0,50,0,1
2,2,0,51,0,1
2,3,1,52,0,1
3,1,0,57,0,1
3,2,0,58,0,1
3,3,0,59,0,1
3,4,0,60,0,1
3,5,0,61,0,1
3,6,0,62,0,1
3,7,0,63,0,1
3,8,0,64,0,1
3,9,0,65,0,1
3,10,0,66,0,1
3,11,0,67,0,1
3,12,0,68,0,0
3,13,0,69,0,0
3,14,0,70,0,0
3,15,0,71,0,0
3,16,0,72,0,0
3,17,0,73,0,0
3,18,0,74,0,0
3,19,0,75,0,0
3,20,0,76,0,0
3,21,0,77,0,0
4,1,0,47,0,1
4,2,0,48,0,1
4,3,0,49,0,1
4,4,0,50,0,1
4,5,0,51,0,1
4,6,0,52,0,1
4,7,0,53,0,1
4,8,0,54,0,1
4,9,0,55,0,1
4,10,0,56,0,1
5,1,0,58,0,1
5,2,0,59,0,1
5,3,0,60,0,1
5,4,0,61,0,1
5,5,0,62,0,1
5,6,0,63,0,1
5,7,1,64,0,1
6,1,0,38,0,1
6,2,0,39,0,1
6,3,0,40,0,1
6,4,0,41,0,1
6,5,0,42,0,1
6,6,0,43,0,1
6,7,0,44,0,1
6,8,0,45,0,1
6,9,0,46,0,1
6,10,0,47,0,1
7,1,0,59,0,1
7,2,1,60,0,1
8,1,0,47,0,1
8,2,0,48,0,1
8,3,0,49,0,1
8,4,0,50,0,1
