caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT
3471,2,1,37,15,1,White,15,85,40
3473,2,4,48,15,1,Non-White,50,85,70
3476,1,6,51,22,0,White,60,30,60
3477,3,5,37,17,1,White,40,60,15
3478,1,6,53,19,1,White,60,30,70
3479,1,7,74,19,1,White,70,0,0
3481,1,7,34,20,0,White,70,30,30
3482,1,6,43,22,0,White,85,60,70
3484,1,6,26,9,0,White,70,0,85
3485,2,2,67,15,1,White,50,70,30
3486,2,3,31,4,0,White,30,70,40
3489,1,7,51,20,0,White,85,0,0
3490,2,2,47,13,0,Non-White,50,60,40
3491,2,2,71,14,1,White,40,85,60
3492,1,5,47,17,1,White,70,10,50
3495,2,3,29,19,0,White,0,60,30
3499,1,7,21,15,0,White,85,0,0
3502,2,1,57,6,1,Non-White,15,85,60
3503,1,6,37,17,1,White,85,40,30
3505,2,2,57,11,0,White,60,70,50
3507,1,4,37,21,1,Non-White,70,85,50
3508,1,7,20,2,1,White,90,30,85
3509,2,2,39,7,0,White,30,60,50
3510,3,6,25,10,0,White,70,60,50
3511,1,7,35,10,1,White,85,15,40
3513,2,2,44,16,0,White,50,70,60
3514,1,7,31,18,0,White,80,40,40
3515,1,5,72,18,0,White,85,50,60
3516,2,1,26,6,1,Non-White,15,70,0
3517,1,5,34,17,1,White,70,40,15
3522,2,3,20,9,1,White,85,85,100
3523,2,1,71,11,0,White,30,85,50
3524,2,3,53,19,0,Non-White,15,60,0
3525,2,1,35,19,1,Non-White,30,50,30
3526,1,6,36,20,1,White,85,40,0
3527,1,6,81,15,0,White,60,50,30
3529,2,3,21,6,1,Non-White,30,70,70
3531,2,6,27,21,1,White,70,60,50
3532,1,5,30,22,0,White,85,40,0
3533,3,4,28,21,1,White,85,40,70
3534,2,3,46,20,1,White,0,60,60
3535,1,7,72,11,0,White,85,70,30
3536,1,5,41,14,0,Non-White,70,60,40
3537,2,2,65,16,1,White,15,70,70
3538,2,6,30,21,1,White,25,75,5
3540,1,5,33,16,0,White,100,15,0
3543,2,2,55,20,1,White,40,60,15
3545,3,5,43,21,0,White,40,30,60
3546,1,4,42,24,0,White,85,30,30
3549,2,2,38,21,1,White,85,85,85
3550,1,7,46,15,1,White,85,15,15
3551,1,7,75,16,1,White,100,30,50
3552,3,3,74,11,1,White,40,60,70
3553,1,7,38,12,0,White,100,10,5
3555,1,4,36,18,1,White,50,50,50
3558,1,7,57,17,1,White,85,30,15
3559,3,4,52,19,0,White,85,50,100
3561,2,3,44,22,1,White,30,60,0
3562,2,1,21,14,1,Non-White,50,70,50
3564,2,4,29,16,0,Non-White,60,85,100
3565,2,3,49,23,1,White,40,70,40
3566,2,3,40,21,1,White,40,60,30
3567,1,5,37,19,1,White,70,30,50
3568,2,2,42,19,0,White,15,60,30
3570,2,6,19,21,0,White,70,100,85
3571,1,7,18,20,0,White,100,50,60
3572,2,2,64,13,1,White,60,85,60
3573,2,1,42,18,1,White,15,70,0
3574,1,6,32,20,1,White,70,50,30
3575,1,5,26,19,1,White,60,0,30
3576,3,3,41,17,0,White,70,70,80
3577,2,7,59,20,0,White,0,60,50
3580,2,1,20,6,0,Non-White,50,85,60
3581,2,2,31,16,1,White,40,85,85
3583,2,1,46,20,0,White,0,100,60
3584,2,2,26,20,0,Non-White,50,60,70
3588,2,2,33,12,1,Non-White,40,85,50
3590,1,2,37,12,1,White,70,15,100
3592,1,7,60,11,0,White,100,0,0
3594,2,2,32,17,0,White,0,70,0
3595,1,5,85,19,0,White,100,85,85
3596,2,2,46,20,1,Non-White,60,70,30
3597,3,3,29,13,0,White,30,70,60
3598,2,5,27,17,1,White,30,40,15
3599,3,5,40,22,0,White,40,15,50
3600,1,7,29,16,0,White,70,15,60
3603,3,6,34,12,0,White,40,15,60
3605,3,4,48,21,0,White,50,60,100
3606,1,6,68,15,1,White,60,60,60
3607,3,3,42,7,1,White,15,85,70
3608,1,7,27,16,0,White,85,30,60
3612,2,1,29,16,1,White,15,85,40
3614,1,5,53,19,0,White,60,40,50
3615,2,2,43,18,0,White,60,85,40
3616,2,3,24,11,0,White,30,85,0
3618,2,1,50,23,0,White,45,70,48
3619,2,1,43,12,1,Non-White,60,85,60
3622,3,6,22,12,0,White,70,60,70
3624,2,4,54,21,0,White,40,50,50
3626,2,2,45,24,1,White,60,50,60
3627,1,5,46,21,1,Non-White,50,30,50
3628,2,3,28,8,0,White,50,70,0
3629,1,7,68,5,0,White,100,0,0
3630,2,1,55,17,1,Non-White,50,100,15
3631,2,2,71,20,0,White,50,70,60
3632,2,1,36,16,0,White,40,80,50
3634,2,1,19,11,1,White,0,90,10
3636,3,4,45,14,0,White,15,70,100
3637,3,4,42,14,0,White,20,30,80
3638,1,5,33,16,0,White,70,30,30
3639,1,5,30,17,0,White,70,15,85
3640,3,3,26,20,0,White,40,60,85
3641,1,7,32,22,0,White,70,50,40
3644,3,7,35,24,1,White,60,40,70
3645,2,2,23,24,1,White,40,70,30
3646,2,3,43,24,0,White,40,50,30
3647,3,4,22,21,1,White,60,85,70
3648,2,3,48,18,0,White,30,70,50
3650,2,2,40,18,1,White,15,85,60
3651,3,5,28,21,0,White,70,70,100
3653,1,7,36,20,0,White,70,0,60
3654,1,6,36,20,0,White,70,40,60
3655,2,4,22,13,1,White,50,60,60
3656,1,2,60,21,0,White,100,30,50
3657,2,3,37,17,1,White,0,100,70
3661,1,7,38,22,1,White,70,15,60
3662,1,5,25,13,0,Non-White,60,40,15
3663,3,3,28,20,1,White,15,60,85
3664,2,2,40,16,0,Non-White,40,60,0
3665,1,6,59,19,1,White,85,70,60
3666,1,7,35,11,1,White,85,80,0
3667,2,3,49,21,0,White,0,70,40
3670,1,7,27,9,1,White,85,15,70
3671,2,3,45,21,1,White,50,70,50
3672,1,5,33,11,1,White,70,60,0
3673,2,3,31,12,0,White,15,85,40
3674,3,3,22,19,1,White,50,15,50
3676,1,6,35,21,1,White,70,30,50
3677,2,3,51,16,0,White,50,70,30
3678,1,7,34,20,0,White,60,40,50
3679,2,3,47,24,1,White,30,70,40
3680,1,5,68,24,0,White,70,50,40
3681,2,3,28,18,0,White,30,70,0
3682,3,5,51,21,0,White,80,80,100
3683,1,7,27,17,1,White,70,40,60
3684,1,4,31,23,0,White,85,0,0
3685,2,4,30,19,1,White,70,70,70
3687,3,3,29,15,0,White,70,30,85
3688,3,2,25,13,0,Non-White,50,70,85
3689,3,5,28,20,0,White,50,0,80
3690,3,3,44,18,0,White,15,50,60
3691,3,3,36,18,1,White,30,70,85
3693,2,3,46,12,1,White,40,50,0
3694,2,1,18,17,1,White,30,70,60
3695,3,4,26,13,0,White,35,10,75
3696,2,3,20,4,1,White,50,85,70
3697,2,2,39,20,1,White,15,70,15
3698,1,5,35,6,0,Non-White,85,60,50
3699,2,1,21,15,1,White,40,60,50
3701,3,2,39,20,1,Non-White,15,30,30
3703,2,3,33,15,0,White,60,85,50
3706,2,2,30,15,0,White,60,70,60
3708,3,3,34,19,1,White,60,85,30
3709,1,4,61,10,1,Non-White,70,60,50
3710,1,4,36,8,0,White,60,40,40
3712,1,7,41,21,0,White,85,30,40
3715,3,2,70,13,1,White,60,70,40
3716,1,7,31,18,0,Non-White,70,60,85
3718,1,7,38,20,0,White,60,40,40
3719,1,6,55,3,0,Non-White,50,50,50
3720,2,1,58,16,0,White,50,70,30
3721,1,2,36,20,1,White,50,50,0
3724,3,6,72,18,0,White,70,40,85
3728,1,7,78,11,1,White,100,40,40
3729,1,1,28,21,1,White,60,85,50
3731,3,5,32,21,1,White,15,15,60
3732,2,1,65,3,0,White,30,50,15
3733,3,6,35,21,0,White,40,15,60
3734,1,5,34,21,0,White,85,85,40
3735,1,7,41,21,1,White,100,0,30
3736,1,5,48,22,1,Non-White,85,50,100
3737,2,6,33,18,0,White,15,60,50
3739,3,5,51,20,0,White,60,50,40
3741,2,1,49,12,1,White,40,60,0
3742,3,5,25,21,1,White,85,70,85
3745,2,4,35,23,1,White,40,60,60
3746,2,4,36,12,0,White,49,50,40
3747,3,5,21,15,1,White,60,70,70
3748,3,2,52,17,0,White,40,40,10
3749,3,6,38,16,0,White,85,30,60
3751,2,2,18,4,1,White,0,60,0
3752,2,2,33,14,1,White,85,40,50
3753,2,2,44,23,0,White,30,70,70
3754,2,1,54,18,1,White,50,70,30
3755,1,5,62,21,0,White,85,30,50
3757,2,2,38,15,0,White,50,70,55
3758,2,3,35,11,1,White,30,70,60
3759,2,4,41,17,0,White,60,60,0
3761,1,7,27,18,0,White,90,0,50
3762,1,7,33,23,1,White,85,60,40
3763,2,6,59,24,0,Non-White,30,60,50
3764,2,1,33,14,0,Non-White,40,70,85
3766,1,7,51,24,0,White,100,60,0
3769,2,2,68,19,0,White,60,70,0
3770,1,6,24,13,0,White,60,50,30
3771,2,1,72,21,1,White,0,85,0
3772,3,6,26,16,0,Non-White,60,40,60
3773,1,6,71,19,1,White,85,30,40
3774,1,7,31,16,1,White,85,0,40
3775,1,6,37,21,0,White,60,15,15
3777,2,5,31,16,1,White,60,70,0
3778,1,7,36,21,0,White,85,50,50
3779,2,5,33,19,1,White,70,60,15
3781,2,3,71,16,1,White,0,85,85
3783,2,3,50,24,1,White,40,65,40
3784,3,7,66,18,1,White,0,50,100
3785,3,7,29,15,0,White,85,40,60
3786,1,6,67,12,1,White,60,40,50
3787,2,1,61,21,0,White,15,70,60
3789,2,2,47,22,1,White,15,70,50
3791,1,7,30,21,1,White,85,30,30
3792,2,1,33,18,0,Non-White,40,50,15
3794,1,5,35,16,1,White,70,40,50
3796,2,2,31,21,1,White,50,50,50
3797,3,2,20,18,0,White,60,40,60
3798,2,6,52,22,0,White,0,50,0
3799,1,6,26,20,1,White,70,0,60
3800,3,7,35,24,0,White,60,30,85
3801,2,4,42,23,0,Non-White,0,70,0
3802,1,7,23,20,0,White,85,15,50
3803,3,3,26,16,0,White,60,70,70
3806,2,1,78,5,0,White,15,85,0
3807,1,5,33,16,1,White,85,30,50
3808,2,5,21,18,0,White,50,60,70
3809,2,2,25,8,0,White,30,70,60
3810,2,5,42,24,0,White,60,60,50
3811,2,2,40,18,1,White,30,60,30
3812,2,1,33,22,1,White,15,85,40
3813,1,2,64,22,0,White,85,60,60
3815,1,6,60,13,1,White,70,30,50
3817,3,7,28,17,0,White,70,85,50
3818,3,4,28,13,1,White,15,0,85
3821,1,7,29,19,1,White,100,0,70
3822,2,1,44,15,0,White,30,85,60
3825,2,3,25,18,1,White,50,60,40
3826,3,3,24,14,0,White,40,60,70
3827,2,2,48,15,0,White,25,60,50
3828,1,7,37,17,1,White,98,15,15
3829,2,6,26,16,1,White,70,70,60
3832,3,4,31,17,0,White,60,40,0
3833,2,1,47,19,0,White,50,85,60
3835,1,2,55,19,0,White,85,70,50
3836,2,1,39,3,0,Non-White,50,100,85
3837,1,2,44,12,1,White,100,50,100
3839,1,6,32,16,1,White,85,15,85
3840,3,3,32,17,1,White,0,40,40
3841,2,3,40,14,0,White,50,85,40
3842,1,4,18,17,1,White,70,50,70
3843,2,2,23,5,0,White,40,85,85
3844,2,1,43,9,1,Non-White,50,85,60
3847,1,6,73,6,1,White,60,30,0
3848,3,4,51,18,0,White,40,30,50
3849,3,5,39,19,0,White,75,50,50
3851,2,1,66,21,1,White,50,70,50
3852,2,5,50,15,1,White,40,50,30
3855,2,1,31,16,1,White,40,70,30
3857,1,6,45,22,1,White,100,15,30
3858,1,6,49,22,0,White,85,50,40
3861,1,7,36,23,0,White,85,30,30
3862,3,5,48,24,0,White,15,15,60
3863,2,2,42,16,1,White,15,85,50
3864,2,3,35,7,1,White,70,60,70
3868,1,2,41,16,1,White,70,60,40
3869,1,5,31,20,1,White,70,40,85
3871,2,3,52,22,0,White,50,60,50
3873,2,1,40,21,0,White,40,60,0
3874,1,6,34,20,1,White,70,50,30
3875,2,2,65,15,1,White,0,85,50
3876,3,4,66,8,1,White,50,50,60
3878,3,3,39,18,0,White,50,15,50
3879,2,2,35,18,0,White,0,70,0
3881,2,1,54,20,1,White,40,85,0
3882,2,2,32,19,1,White,70,85,70
3883,2,2,45,17,1,White,0,85,70
3885,2,1,53,14,1,White,30,70,0
3886,1,7,35,24,1,White,85,0,40
3887,1,4,49,20,0,White,50,50,0
3888,2,1,37,21,0,White,30,70,50
3889,2,2,53,20,0,White,35,65,15
3891,2,1,70,11,0,Non-White,25,50,25
3892,2,2,31,22,1,White,40,85,85
3893,2,1,37,21,1,White,70,85,60
3894,2,1,41,20,0,White,15,70,40
3895,2,1,34,24,1,Non-White,30,70,30
3896,2,3,51,16,1,White,30,85,60
3897,2,2,30,18,1,White,40,95,80
3899,1,5,42,21,1,White,95,10,40
3900,2,2,69,10,1,White,40,90,70
3901,1,6,37,15,0,White,80,30,50
3902,1,7,38,21,1,White,70,15,15
3903,1,5,30,15,1,White,15,40,40
3904,2,3,43,20,0,White,60,85,30
3905,2,2,34,19,1,Non-White,60,70,60
3906,2,4,33,19,0,Non-White,20,60,80
3907,1,2,54,21,1,White,90,20,50
3908,2,1,57,10,1,White,70,85,15
3913,1,7,65,20,0,White,85,60,60
3916,3,4,32,9,0,White,40,60,85
3917,2,1,53,16,0,Non-White,40,85,60
3919,1,5,54,19,1,White,70,30,60
3921,1,7,51,22,0,White,70,60,70
3923,3,5,27,20,1,White,60,30,70
3925,2,3,39,16,0,White,0,60,50
3926,1,6,58,22,1,White,85,15,60
3927,3,7,42,23,0,White,50,20,60
3928,3,6,34,16,1,White,70,30,85
3930,1,7,43,16,0,White,50,50,50
3932,2,2,35,18,0,Non-White,15,70,60
3933,2,3,32,7,1,Non-White,50,60,50
3934,1,5,44,24,0,White,85,30,85
3935,3,3,40,20,0,White,30,60,60
3936,2,3,38,18,0,White,30,60,30
3937,1,5,28,21,0,White,60,15,50
3938,2,4,35,21,0,White,70,70,50
3939,1,5,48,20,0,White,40,30,15
3940,3,7,69,16,0,White,60,30,70
3941,2,1,53,16,1,White,15,85,60
3942,1,2,26,6,1,White,85,70,60
3943,1,5,32,16,0,White,80,20,40
3944,3,6,40,18,1,White,60,70,85
3945,1,7,36,17,0,White,65,25,25
3946,1,7,37,20,0,White,70,70,40
3948,3,5,44,21,1,White,60,40,70
3950,2,1,56,21,1,White,50,70,50
3952,2,1,45,15,1,Non-White,40,85,40
3954,2,1,64,17,0,White,50,70,60
3955,3,6,28,21,0,White,50,50,60
3956,1,7,65,22,0,White,70,70,50
3957,2,1,56,16,1,White,0,85,0
3959,1,5,62,4,1,White,85,40,50
3961,2,1,66,11,0,Non-White,0,100,0
3962,2,2,37,19,1,White,40,70,50
3963,2,2,31,18,1,Non-White,60,70,15
3964,1,6,35,21,1,White,65,45,30
3967,2,1,70,15,1,White,70,85,50
3969,1,7,73,24,0,White,70,60,50
3972,1,4,26,24,1,White,60,60,30
3973,1,6,34,23,1,White,85,30,60
3974,2,3,51,8,1,White,65,75,50
3976,1,3,21,14,1,Non-White,60,60,30
