caseid,presvote,partyid,BushFT,ClintonFT,PerotFT
3387,1,5,85,0,60
3388,2,2,60,70,0
3389,3,2,30,70,15
3390,3,3,15,50,70
3391,1,6,70,0,40
3393,1,6,85,40,85
3394,1,6,60,15,15
3401,3,5,60,50,50
3402,3,3,50,65,80
3403,1,5,70,60,70
3404,1,1,0,70,50
3406,2,3,50,85,50
3408,1,6,100,70,72
3409,2,2,40,60,15
3410,2,1,40,100,30
3411,3,2,60,60,85
3412,1,5,85,40,40
3413,1,5,60,50,70
3414,1,2,50,50,50
3415,2,1,60,60,0
3417,2,3,50,85,30
3418,1,6,70,15,85
3421,2,2,10,60,60
3422,2,1,30,85,60
3423,2,1,72,85,70
3424,2,5,30,85,85
3425,2,1,15,85,25
3426,3,3,60,60,85
3427,3,7,40,50,60
3428,2,2,0,60,40
3429,1,7,85,0,0
3430,2,2,60,60,50
3431,1,2,85,40,0
3433,1,7,70,0,30
3434,1,6,70,30,15
3435,2,4,70,60,50
3436,2,3,30,85,60
3437,2,2,40,60,40
3438,2,2,15,40,0
3439,1,5,60,35,60
3440,1,6,85,30,15
3441,3,6,85,60,50
3444,1,6,60,30,0
3445,2,1,0,60,0
3446,2,1,50,60,50
3447,3,3,0,70,100
3449,3,2,40,60,50
3451,3,3,60,70,70
3455,2,4,60,40,85
3456,2,2,40,70,30
3460,2,1,0,25,0
3461,2,5,50,70,40
3462,1,7,70,40,50
3464,1,7,100,50,0
3466,3,5,50,10,75
3467,1,5,15,50,70
3471,2,1,15,85,40
3473,2,4,50,85,70
3476,1,6,60,30,60
3477,3,5,40,60,15
3478,1,6,60,30,70
3479,1,7,70,0,0
3481,1,7,70,30,30
3482,1,6,85,60,70
3484,1,6,70,0,85
3485,2,2,50,70,30
3486,2,3,30,70,40
3489,1,7,85,0,0
3490,2,2,50,60,40
3491,2,2,40,85,60
3492,1,5,70,10,50
3495,2,3,0,60,30
3499,1,7,85,0,0
3502,2,1,15,85,60
3503,1,6,85,40,30
3505,2,2,60,70,50
3507,1,4,70,85,50
3508,1,7,90,30,85
3509,2,2,30,60,50
3510,3,6,70,60,50
3511,1,7,85,15,40
3513,2,2,50,70,60
3514,1,7,80,40,40
3515,1,5,85,50,60
3516,2,1,15,70,0
3517,1,5,70,40,15
3522,2,3,85,85,100
3523,2,1,30,85,50
3524,2,3,15,60,0
3525,2,1,30,50,30
3526,1,6,85,40,0
3527,1,6,60,50,30
3529,2,3,30,70,70
3531,2,6,70,60,50
3532,1,5,85,40,0
3533,3,4,85,40,70
3534,2,3,0,60,60
3535,1,7,85,70,30
3536,1,5,70,60,40
3537,2,2,15,70,70
3538,2,6,25,75,5
3540,1,5,100,15,0
3543,2,2,40,60,15
3545,3,5,40,30,60
3546,1,4,85,30,30
3549,2,2,85,85,85
3550,1,7,85,15,15
3551,1,7,100,30,50
3552,3,3,40,60,70
3553,1,7,100,10,5
3555,1,4,50,50,50
3558,1,7,85,30,15
3559,3,4,85,50,100
3561,2,3,30,60,0
3562,2,1,50,70,50
3564,2,4,60,85,100
3565,2,3,40,70,40
3566,2,3,40,60,30
3567,1,5,70,30,50
3568,2,2,15,60,30
3570,2,6,70,100,85
3571,1,7,100,50,60
3572,2,2,60,85,60
3573,2,1,15,70,0
3574,1,6,70,50,30
3575,1,5,60,0,30
3576,3,3,70,70,80
3577,2,7,0,60,50
3580,2,1,50,85,60
3581,2,2,40,85,85
3583,2,1,0,100,60
3584,2,2,50,60,70
3588,2,2,40,85,50
3590,1,2,70,15,100
3592,1,7,100,0,0
3594,2,2,0,70,0
3595,1,5,100,85,85
3596,2,2,60,70,30
3597,3,3,30,70,60
3598,2,5,30,40,15
3599,3,5,40,15,50
3600,1,7,70,15,60
3603,3,6,40,15,60
3605,3,4,50,60,100
3606,1,6,60,60,60
3607,3,3,15,85,70
3608,1,7,85,30,60
3612,2,1,15,85,40
3614,1,5,60,40,50
3615,2,2,60,85,40
3616,2,3,30,85,0
3618,2,1,45,70,48
3619,2,1,60,85,60
3622,3,6,70,60,70
3624,2,4,40,50,50
3626,2,2,60,50,60
3627,1,5,50,30,50
3628,2,3,50,70,0
3629,1,7,100,0,0
3630,2,1,50,100,15
3631,2,2,50,70,60
3632,2,1,40,80,50
3634,2,1,0,90,10
3636,3,4,15,70,100
3637,3,4,20,30,80
3638,1,5,70,30,30
3639,1,5,70,15,85
3640,3,3,40,60,85
3641,1,7,70,50,40
3644,3,7,60,40,70
3645,2,2,40,70,30
3646,2,3,40,50,30
3647,3,4,60,85,70
3648,2,3,30,70,50
3650,2,2,15,85,60
3651,3,5,70,70,100
3653,1,7,70,0,60
3654,1,6,70,40,60
3655,2,4,50,60,60
3656,1,2,100,30,50
3657,2,3,0,100,70
3661,1,7,70,15,60
3662,1,5,60,40,15
3663,3,3,15,60,85
3664,2,2,40,60,0
3665,1,6,85,70,60
3666,1,7,85,80,0
3667,2,3,0,70,40
3670,1,7,85,15,70
3671,2,3,50,70,50
3672,1,5,70,60,0
3673,2,3,15,85,40
3674,3,3,50,15,50
3676,1,6,70,30,50
3677,2,3,50,70,30
3678,1,7,60,40,50
3679,2,3,30,70,40
3680,1,5,70,50,40
3681,2,3,30,70,0
3682,3,5,80,80,100
3683,1,7,70,40,60
3684,1,4,85,0,0
3685,2,4,70,70,70
3687,3,3,70,30,85
3688,3,2,50,70,85
3689,3,5,50,0,80
3690,3,3,15,50,60
3691,3,3,30,70,85
3693,2,3,40,50,0
3694,2,1,30,70,60
3695,3,4,35,10,75
3696,2,3,50,85,70
3697,2,2,15,70,15
3698,1,5,85,60,50
3699,2,1,40,60,50
3701,3,2,15,30,30
3703,2,3,60,85,50
3706,2,2,60,70,60
3708,3,3,60,85,30
3709,1,4,70,60,50
3710,1,4,60,40,40
3712,1,7,85,30,40
3715,3,2,60,70,40
3716,1,7,70,60,85
3718,1,7,60,40,40
3719,1,6,50,50,50
3720,2,1,50,70,30
3721,1,2,50,50,0
3724,3,6,70,40,85
3728,1,7,100,40,40
3729,1,1,60,85,50
3731,3,5,15,15,60
3732,2,1,30,50,15
3733,3,6,40,15,60
3734,1,5,85,85,40
3735,1,7,100,0,30
3736,1,5,85,50,100
3737,2,6,15,60,50
3739,3,5,60,50,40
3741,2,1,40,60,0
3742,3,5,85,70,85
3745,2,4,40,60,60
3746,2,4,49,50,40
3747,3,5,60,70,70
3748,3,2,40,40,10
3749,3,6,85,30,60
3751,2,2,0,60,0
3752,2,2,85,40,50
3753,2,2,30,70,70
3754,2,1,50,70,30
3755,1,5,85,30,50
3757,2,2,50,70,55
3758,2,3,30,70,60
3759,2,4,60,60,0
3761,1,7,90,0,50
3762,1,7,85,60,40
3763,2,6,30,60,50
3764,2,1,40,70,85
3766,1,7,100,60,0
3769,2,2,60,70,0
3770,1,6,60,50,30
3771,2,1,0,85,0
3772,3,6,60,40,60
3773,1,6,85,30,40
3774,1,7,85,0,40
3775,1,6,60,15,15
3777,2,5,60,70,0
3778,1,7,85,50,50
