caseid,presvote,partyid,BushFT,ClintonFT,PerotFT
5604,1,6,85,5,5
5605,1,7,85,40,70
5606,1,5,70,40,15
5608,2,3,30,70,85
5609,2,1,30,60,50
5610,2,2,40,50,40
5611,3,3,20,30,60
5613,1,7,80,60,70
5615,1,6,85,15,50
5617,2,2,70,60,30
5620,1,7,100,25,20
5621,1,4,85,60,50
5624,1,7,100,0,60
5626,2,1,0,85,0
5627,2,2,15,85,60
5628,2,1,0,70,15
5630,1,6,50,40,15
5631,3,4,70,60,60
5632,2,3,60,70,60
5633,1,5,60,0,30
5636,2,2,60,85,50
5639,3,3,60,60,40
5640,2,3,60,50,0
5641,1,7,85,40,0
5643,1,6,70,60,60
5644,2,2,35,75,50
5645,2,1,30,70,50
5646,1,7,70,40,40
5647,2,3,50,70,30
5649,3,5,60,50,85
5650,2,1,40,60,50
5653,2,3,75,85,55
5654,2,3,15,85,60
5655,2,2,60,85,50
5656,1,2,70,70,60
5660,2,1,20,70,30
5661,1,5,70,60,50
5663,2,1,0,80,50
5664,2,6,70,85,60
5665,1,6,70,40,50
5666,3,4,85,70,30
5667,1,6,0,0,60
5668,1,7,85,50,0
5670,1,6,60,50,40
5674,2,6,60,85,50
5676,1,7,85,40,70
5677,1,3,50,20,20
5678,2,3,30,70,60
5683,3,1,40,70,70
5684,3,6,70,40,50
5685,3,4,50,50,80
5687,2,1,40,85,50
5691,2,4,30,60,50
5692,1,7,85,15,0
5693,2,4,50,85,70
5694,2,1,30,85,30
5695,3,3,0,70,85
5697,3,5,0,70,85
5698,2,3,50,70,50
5700,2,3,50,75,50
5701,2,3,70,70,60
5705,2,3,0,85,50
5706,2,1,0,70,0
5707,2,1,30,80,45
5709,1,6,70,50,50
5710,1,7,85,0,0
5711,1,5,60,0,0
5713,2,1,0,80,20
5715,2,2,40,70,50
5718,2,2,70,70,100
5721,2,2,30,60,60
5722,1,5,70,40,15
5725,2,4,15,40,0
5726,2,3,60,85,50
5727,2,2,60,80,20
5729,2,1,10,100,0
5730,2,1,70,85,60
5734,3,4,85,70,85
5736,2,3,70,30,50
5737,2,2,50,85,15
5739,1,4,70,60,30
5741,3,5,70,50,100
5742,2,4,30,70,70
5743,3,3,50,70,85
5744,2,1,50,60,50
5745,2,2,40,70,15
5747,3,2,70,60,40
5748,3,5,60,40,60
5751,2,1,0,30,15
5753,1,5,85,0,0
5754,2,1,0,60,85
5755,2,1,15,60,15
5757,3,6,50,50,50
5758,3,6,50,50,60
5760,3,4,60,30,60
5762,1,5,60,60,60
5763,2,2,60,85,50
5764,1,7,70,15,50
5765,1,7,85,15,0
5767,2,1,15,70,30
5768,2,5,40,60,30
5772,2,1,50,100,50
5773,2,3,5,45,10
5774,1,7,70,30,15
5775,2,2,30,60,50
5776,2,1,50,60,30
5778,1,5,70,40,85
5779,2,1,15,70,15
5781,2,1,60,60,40
5782,1,6,70,50,0
5783,2,1,30,60,50
5786,2,1,8,100,10
5788,3,2,50,60,50
5790,2,2,40,85,50
5793,3,7,65,0,85
5795,2,3,30,60,50
5796,2,2,15,60,30
5798,2,1,15,85,0
5799,2,1,40,85,70
5801,2,1,40,85,0
5802,1,7,60,40,50
5804,2,1,50,65,85
5806,2,2,30,85,30
5807,3,5,60,50,100
5808,1,7,85,0,0
5809,2,4,40,50,50
5813,2,1,0,100,70
5814,1,6,85,40,50
5815,3,2,60,70,60
5817,1,7,100,40,85
5818,3,3,75,50,75
5819,2,3,5,85,75
5820,2,1,50,100,70
5823,1,7,50,25,40
5824,3,2,30,30,15
5826,1,5,85,60,100
5827,2,2,70,80,40
5828,2,2,60,85,85
5829,2,1,50,100,50
5830,2,2,40,60,30
5833,2,2,30,60,20
5836,2,1,40,95,70
5838,2,5,30,80,95
5839,3,4,15,60,70
5840,3,3,50,50,85
5843,1,7,85,60,50
5845,1,7,85,40,30
5846,1,1,85,30,70
5847,2,1,50,60,50
5850,2,2,40,70,50
5851,2,3,30,70,50
5852,3,5,50,60,50
5853,1,7,85,30,50
5854,2,3,5,65,40
5857,2,2,40,80,50
5858,2,1,70,80,75
5862,2,2,40,85,50
5863,3,6,50,50,75
5864,3,4,0,30,50
5865,2,3,50,60,60
5867,3,3,70,60,70
5868,2,1,15,85,85
5871,1,5,80,50,75
5873,3,4,0,85,100
5874,2,1,15,80,70
5875,2,1,15,90,5
5876,2,2,80,70,70
5877,2,2,40,40,100
5878,2,3,50,50,0
5880,2,6,60,50,60
5882,1,6,100,15,50
5884,2,1,50,70,60
5886,2,1,30,85,30
5887,1,7,85,15,30
5889,1,7,100,30,70
5892,2,1,40,98,30
5893,2,3,40,100,70
5894,3,6,70,0,70
5896,3,4,60,60,70
5897,2,3,40,70,60
5898,2,1,0,100,50
5899,2,2,25,50,25
5900,2,2,70,85,70
5901,2,1,0,85,40
5902,2,1,10,55,45
5904,1,7,85,30,0
5905,2,5,70,70,60
5906,3,2,40,60,85
5907,2,3,40,70,70
5909,1,4,70,40,15
5913,2,4,50,50,50
5914,2,5,15,85,70
5916,2,2,50,50,0
5919,1,7,70,0,0
5920,1,7,85,50,30
5921,2,1,0,100,15
5922,3,3,40,60,15
5924,3,2,50,70,50
5925,1,7,70,0,60
5926,2,1,60,100,15
5927,1,5,80,20,30
5928,2,1,50,85,15
5929,2,3,50,85,60
5931,2,1,25,85,50
5933,2,1,30,60,60
5935,1,2,85,30,50
5936,1,6,75,70,70
5937,3,6,50,50,50
5938,3,6,70,60,60
5939,2,1,40,85,60
5941,2,2,30,85,85
5944,1,7,80,40,70
5945,1,6,90,50,10
5946,3,4,0,70,70
5949,1,6,85,65,50
5950,2,2,50,85,65
5951,2,1,40,70,50
5952,1,5,70,0,50
5953,1,6,60,55,55
5954,1,5,70,15,30
5956,1,6,70,40,50
5957,2,1,35,80,50
5958,2,2,40,70,60
5959,2,3,15,70,40
5962,2,1,60,85,40
5963,3,2,70,40,60
5964,1,6,85,15,0
5967,1,3,60,0,0
5968,2,1,25,80,65
5969,2,2,25,75,15
5970,2,1,40,70,60
5973,1,3,70,60,55
5976,3,1,40,40,85
5979,1,2,70,60,50
5981,1,5,85,40,50
5982,2,2,0,70,50
5983,1,3,85,50,60
5984,3,1,15,70,85
5987,1,7,90,20,30
5989,1,4,70,60,30
5990,1,7,80,1,60
5991,1,6,70,30,40
5993,1,6,85,60,70
5994,2,7,60,70,60
5999,2,1,15,60,100
6000,2,3,40,70,50
6002,2,1,0,100,15
6003,2,2,0,85,15
6007,3,4,30,40,50
6008,2,2,30,70,50
6009,1,6,45,20,45
6010,1,7,100,50,40
6011,3,2,85,85,75
6012,2,1,0,100,15
6013,1,7,70,30,50
6014,2,3,15,85,0
6015,2,1,15,80,20
6016,1,5,60,0,0
6017,1,6,70,50,40
6018,2,1,0,85,70
6021,2,3,40,70,70
6024,1,7,70,30,15
6025,2,1,15,85,0
6028,2,4,60,60,60
6030,3,5,40,30,60
6032,3,5,60,30,60
6033,2,1,0,100,0
6034,2,1,85,85,0
6035,3,6,40,60,70
6036,3,6,40,20,95
6037,3,1,50,50,60
6039,1,7,85,15,60
6040,2,6,50,50,0
6044,1,5,85,40,50
6045,1,7,100,0,0
6048,1,2,70,40,0
6049,2,5,60,60,50
6051,3,4,15,70,60
6052,1,5,40,50,60
6053,2,3,40,50,85
6055,2,2,85,40,0
6056,1,7,85,50,40
6058,3,5,75,75,60
6060,2,2,65,75,70
6061,1,5,60,40,15
6063,2,2,60,60,40
6064,1,7,85,15,50
6066,2,3,30,80,60
6067,3,3,60,80,90
6070,2,3,85,30,60
6071,2,3,60,85,70
6072,3,6,70,60,50
6075,3,3,60,60,30
6076,2,1,0,70,15
6077,1,7,100,0,40
6078,2,5,40,40,40
6079,2,3,30,70,60
6080,2,4,0,60,85
6081,2,2,40,85,50
6082,3,6,70,60,50
6083,1,6,85,70,40
6086,3,3,60,60,50
6087,2,2,60,70,50
6088,2,1,60,70,60
6089,2,1,30,85,15
6090,3,5,85,30,40
6094,1,5,70,60,0
6096,2,2,50,85,85
6097,2,3,70,85,70
6100,3,3,70,85,60
6103,1,7,90,40,25
6104,3,2,30,60,100
6105,1,6,70,40,40
6106,3,6,50,50,55
6107,1,2,70,40,15
6109,1,3,50,50,85
6110,3,5,40,45,50
6111,2,1,15,70,85
6112,1,6,70,40,60
6113,2,2,50,70,50
6116,2,3,50,60,0
6117,1,4,100,40,40
6118,1,6,85,60,30
6119,3,2,70,60,0
6120,2,4,30,60,0
6121,2,3,0,85,60
6122,2,1,15,85,40
6123,2,3,0,70,60
6125,2,1,70,70,0
6126,3,3,50,50,70
6130,1,7,62,53,50
6131,1,6,90,20,0
6132,2,1,60,60,50
6134,2,1,15,100,30
6135,2,1,0,50,0
6138,3,2,55,60,60
6139,2,3,40,70,40
6141,1,5,40,10,30
6143,3,6,70,50,50
6144,3,5,30,70,85
6145,3,5,60,40,50
6146,1,5,60,15,85
6148,3,6,60,0,85
6149,2,2,0,100,15
6156,2,1,60,100,50
6159,2,1,50,100,50
6160,3,2,60,30,15
6162,3,5,70,60,70
6165,2,3,40,60,15
6166,1,1,60,50,60
6167,1,6,75,50,60
6168,1,6,70,60,0
6169,1,2,85,0,0
6170,2,1,50,70,50
6171,2,2,60,70,50
6172,3,2,60,85,70
6175,2,3,15,60,30
6176,2,2,40,70,30
6178,2,4,30,70,40
6180,1,3,60,40,0
6181,2,3,40,70,15
6182,3,4,60,60,60
6183,3,2,40,60,50
6184,2,4,50,60,0
6185,1,7,85,30,40
6186,2,2,0,15,10
6187,2,2,40,70,85
6188,2,1,15,70,60
6189,1,6,60,50,15
6190,1,7,70,30,60
6191,2,1,30,85,15
6192,1,5,100,40,40
6194,2,3,30,60,50
6195,1,6,70,40,30
6196,2,1,20,75,75
6197,3,7,60,40,85
6198,2,6,70,70,70
6199,3,7,15,50,30
6200,1,2,70,50,40
6202,1,5,85,50,70
6203,3,4,60,0,85
6204,3,5,60,65,75
6205,3,6,70,50,60
6206,2,1,40,40,40
6208,2,1,0,85,40
6209,2,1,30,70,15
6211,3,2,60,70,50
6213,1,7,85,15,0
6215,3,4,35,15,75
6216,3,7,70,50,85
6217,2,1,0,100,50
6219,2,3,0,40,40
6220,2,1,30,60,50
6222,2,2,40,60,0
6223,1,5,75,0,0
6225,3,6,70,30,60
6226,2,1,65,100,20
6227,3,5,70,40,85
6228,2,1,50,80,50
6229,2,1,50,60,60
6230,2,1,40,95,70
6231,3,5,70,40,70
6232,3,4,15,0,100
6233,2,1,30,60,0
6235,1,7,100,50,70
6241,2,1,60,85,15
6242,2,3,40,60,85
6243,2,2,0,60,0
6245,1,6,100,0,50
6246,2,5,60,55,0
6247,2,1,0,85,50
6250,2,1,30,60,40
6251,1,6,70,30,60
