us,id,amrev,amaff,sumam,fedpet,constit,sgam
348/0407,168,0,0,0,0,0,0
348/0419,169,0,0,0,0,1,0
348/0426,170,0,0,0,1,0,0
348/0434,171,0,0,0,0,0,0
348/0437,172,0,0,0,0,0,0
348/0468,173,2,0,2,0,0,0
348/0483,175,0,5,5,0,1,0
348/0483,174,5,1,6,0,1,0
348/0492,176,0,0,0,1,0,0
348/0503,177,0,0,0,1,0,0
348/0511,178,1,0,1,0,0,0
348/0528,179,0,0,0,1,0,0
348/0540,180,0,0,0,0,0,0
348/0803,181,0,0,0,0,0,0
348/0880,182,0,0,0,0,0,0
348/0891,183,0,0,0,0,0,0
348/0904,184,0,0,0,0,0,0
348/0932,185,0,0,0,0,0,0
348/0933,186,0,0,0,0,0,0
348/0933,187,0,0,0,0,0,0
348/0940,189,0,0,0,1,0,0
348/0940,188,0,0,0,0,0,0
348/0945,190,0,0,0,1,0,0
348/0956,192,0,0,0,0,0,0
348/0956,191,0,0,0,0,0,0
348/0960,193,0,0,0,0,0,0
348/0978,195,0,0,0,0,0,0
348/0978,194,0,0,0,0,0,0
349/0001,196,0,0,0,0,0,0
349/0029,197,0,0,0,0,0,0
349/0044,199,0,0,0,0,0,0
349/0044,198,0,0,0,0,0,0
349/0046,200,0,0,0,0,0,0
349/0048,201,0,0,0,1,0,0
349/0058,202,0,1,1,0,1,0
349/0070,203,0,0,0,0,0,0
349/0081,204,0,0,0,0,0,0
349/0085,205,0,1,1,0,0,0
349/0122,206,0,0,0,0,0,0
349/0129,207,0,0,0,1,0,0
349/0133,208,0,0,0,0,1,0
349/0143,210,1,0,1,0,1,1
349/0143,209,0,0,0,0,1,0
349/0155,211,0,0,0,0,1,0
349/0190,212,1,0,1,0,1,0
349/0219,213,0,0,0,0,0,0
349/0232,214,0,0,0,1,0,0
349/0237,215,0,0,0,0,0,0
349/0254,217,0,0,0,0,0,0
349/0254,216,1,1,2,0,0,0
349/0280,218,0,0,0,1,0,0
349/0294,222,0,0,0,0,0,0
349/0294,221,0,0,0,0,0,0
349/0294,223,0,0,0,0,0,0
349/0294,219,0,0,0,0,0,1
349/0294,220,0,0,0,0,0,0
349/0302,224,0,0,0,0,0,0
349/0322,225,0,0,0,0,0,0
349/0331,226,3,0,3,0,0,0
349/0358,227,0,0,0,1,0,0
349/0366,228,0,0,0,1,0,0
349/0375,229,0,0,0,0,1,0
349/0408,230,0,0,0,0,1,0
349/0427,231,0,0,0,1,0,0
349/0435,232,0,2,2,1,0,0
349/0458,233,0,1,1,0,0,0
349/0901,235,0,0,0,0,0,0
349/0901,234,0,0,0,0,0,0
349/0902,236,0,0,0,0,0,0
350/0001,237,0,0,0,0,0,0
350/0003,238,0,0,0,0,1,0
350/0005,239,0,0,0,0,0,0
350/0011,240,1,0,1,0,1,0
350/0046,241,0,0,0,0,0,0
350/0055,242,0,0,0,1,0,0
350/0061,243,0,0,0,0,0,0
350/0077,244,0,0,0,0,0,0
350/0079,245,0,0,0,0,0,0
350/0085,246,0,0,0,0,1,0
350/0091,247,0,0,0,0,1,0
350/0091,248,0,0,0,0,1,0
350/0107,249,0,0,0,1,0,0
350/0114,250,0,0,0,0,0,0
350/0116,251,0,0,0,0,1,0
350/0124,252,0,1,1,0,0,1
350/0148,253,0,0,0,0,0,0
350/0155,254,0,0,0,0,0,0
350/0162,258,0,0,0,0,0,0
350/0162,257,0,0,0,1,0,0
350/0162,256,0,0,0,0,0,0
350/0162,255,0,0,0,1,0,0
350/0179,259,0,0,0,1,0,0
350/0179,260,0,0,0,0,0,0
350/0198,261,0,0,0,0,0,0
350/0214,262,0,0,0,0,0,0
350/0222,263,0,0,0,1,1,0
350/0247,264,0,0,0,0,0,0
350/0260,265,0,0,0,1,0,0
350/0264,266,1,0,1,1,0,0
350/0270,267,0,0,0,0,0,0
350/0299,268,0,0,0,1,0,0
350/0308,270,0,0,0,1,0,0
350/0308,269,0,0,0,1,0,0
350/0318,271,0,1,1,0,0,0
350/0332,272,0,1,1,0,0,0
350/0332,273,0,0,0,1,0,0
350/0348,274,0,0,0,1,0,0
350/0348,275,0,0,0,0,0,0
350/0356,276,0,0,0,0,0,0
350/0359,277,0,0,0,0,1,0
350/0366,278,0,0,0,0,0,0
350/0377,279,0,0,0,0,0,0
350/0383,280,0,1,1,1,0,0
350/0399,281,0,0,0,0,0,0
350/0409,282,0,0,0,1,0,0
350/0413,283,0,0,0,0,1,0
350/0415,284,0,0,0,1,0,0
350/0422,285,1,0,1,0,1,0
350/0456,286,0,0,0,0,0,0
350/0462,287,0,0,0,0,0,0
350/0473,288,0,2,2,1,0,0
350/0485,289,0,0,0,0,0,0
350/0488,290,0,0,0,0,0,0
350/0492,291,0,0,0,0,1,0
350/0495,292,0,0,0,0,0,0
350/0497,293,4,2,6,0,0,1
350/0521,294,0,0,0,0,0,0
350/0521,295,0,0,0,0,0,0
350/0523,296,0,0,0,0,0,0
350/0528,297,0,0,0,0,1,0
350/0532,298,0,0,0,0,0,0
350/0537,299,0,0,0,0,1,0
350/0551,300,1,0,1,0,1,0
350/0568,301,0,0,0,0,1,0
350/0857,302,0,0,0,0,0,0
350/0868,303,0,0,0,0,0,0
350/0869,304,0,0,0,0,0,0
350/0869,305,0,0,0,0,1,0
350/0891,306,0,0,0,1,0,0
350/0920,307,0,0,0,0,0,0
350/0955,308,0,0,0,0,0,0
350/1003,309,0,0,0,0,0,0
350/1010,310,0,0,0,1,0,0
351/0001,311,0,1,1,1,0,0
351/0012,312,0,0,0,0,1,0
351/0040,315,0,0,0,0,0,0
351/0040,314,0,0,0,1,0,0
351/0040,313,0,0,0,0,0,0
351/0040,316,0,0,0,0,0,0
351/0049,319,0,0,0,0,0,0
351/0049,317,0,0,0,0,0,0
351/0049,318,0,0,0,1,0,0
351/0056,320,0,0,0,0,0,0
351/0062,321,1,0,1,0,0,0
351/0079,322,0,0,0,0,0,0
351/0091,323,0,0,0,1,0,0
351/0105,325,0,0,0,1,0,0
351/0105,324,0,0,0,1,0,0
351/0105,326,0,0,0,0,0,0
351/0115,327,2,1,3,0,0,0
351/0131,328,0,0,0,0,0,0
351/0141,329,0,1,1,0,1,1
351/0149,330,0,0,0,1,0,0
351/0159,331,0,1,1,0,1,0
351/0173,332,0,0,0,0,0,0
351/0183,333,0,0,0,0,0,0
351/0192,334,0,0,0,1,0,0
351/0215,335,0,0,0,0,0,0
351/0215,336,0,0,0,1,0,0
351/0225,337,2,11,13,0,1,0
351/0243,338,0,0,0,1,0,0
351/0253,339,1,1,2,0,0,1
351/0266,340,0,3,3,0,0,0
351/0277,341,0,0,0,0,0,0
351/0292,342,2,1,3,0,0,0
351/0305,343,0,0,0,1,0,0
351/0321,345,0,0,0,0,0,0
351/0321,348,0,0,0,0,0,0
351/0321,347,0,0,0,0,0,0
351/0321,346,0,0,0,1,0,0
351/0321,344,0,0,0,0,0,0
351/0321,349,0,0,0,1,0,0
351/0345,350,1,0,1,0,0,0
351/0377,351,0,0,0,1,0,0
351/0427,352,0,0,0,0,0,0
351/0445,353,0,0,0,0,0,0
351/0454,354,0,0,0,0,1,0
351/0470,355,0,0,0,1,1,0
351/0487,356,0,0,0,1,1,0
351/0493,357,0,0,0,0,0,0
351/0502,358,0,0,0,0,0,0
351/0513,360,0,0,0,0,0,0
351/0513,359,0,0,0,0,0,0
351/0525,361,0,0,0,0,0,0
351/0536,362,0,0,0,0,0,0
351/0570,363,3,1,4,0,0,0
351/0916,364,0,0,0,0,0,0
352/0001,365,0,0,0,0,0,0
352/0029,366,0,0,0,0,0,0
352/0029,367,0,0,0,0,0,0
352/0036,368,0,0,0,1,0,0
352/0040,369,0,0,0,1,0,0
352/0059,370,0,0,0,1,0,0
352/0077,371,0,0,0,1,0,0
352/0082,372,0,0,0,0,0,0
352/0103,373,0,0,0,0,1,0
352/0112,374,0,0,0,0,1,0
352/0128,375,0,0,0,0,0,0
352/0145,376,0,0,0,1,0,0
352/0153,377,0,0,0,0,0,0
352/0158,378,0,0,0,1,0,0
352/0180,379,0,0,0,1,0,0
352/0187,380,1,0,1,0,0,1
352/0191,381,0,0,0,0,1,0
352/0202,382,0,0,0,1,0,0
352/0212,383,0,0,0,1,0,0
352/0220,384,0,0,0,0,0,0
352/0232,385,0,0,0,0,0,0
352/0249,386,0,0,0,1,0,0
352/0270,387,0,0,0,0,0,0
352/0280,388,0,0,0,0,0,0
352/0282,389,0,0,0,1,0,0
352/0306,390,0,0,0,1,0,0
352/0313,391,0,0,0,0,0,0
352/0315,393,0,0,0,0,0,0
352/0315,392,0,0,0,0,0,0
352/0322,394,0,0,0,0,0,0
352/0330,395,0,0,0,0,0,0
352/0354,396,0,0,0,0,1,0
352/0370,397,0,0,0,0,0,0
352/0380,398,3,1,4,0,1,0
352/0385,399,0,0,0,0,0,0
352/0407,400,0,0,0,1,0,0
352/0419,401,0,0,0,1,0,0
352/0432,402,0,0,0,0,1,0
352/0445,403,0,0,0,0,0,0
352/0457,404,0,0,0,0,0,0
352/0480,405,3,0,3,0,0,1
352/0500,406,0,0,0,0,0,0
352/0512,407,0,0,0,0,0,0
352/0518,408,0,0,0,0,0,0
352/0521,409,0,0,0,0,0,0
352/0565,411,0,0,0,0,0,0
352/0565,410,0,0,0,0,0,0
352/0567,412,0,0,0,1,0,0
352/0599,413,0,0,0,0,0,0
352/0808,414,0,0,0,0,0,0
352/0862,415,0,0,0,0,0,0
352/0862,416,0,0,0,0,0,0
352/0874,417,0,0,0,0,0,0
352/0901,418,0,0,0,0,0,0
352/0901,419,0,0,0,0,0,0
352/0903,420,0,0,0,0,0,0
352/0910,421,0,0,0,0,0,0
352/0950,423,0,0,0,0,0,0
352/0950,422,0,0,0,0,0,0
352/0978,424,0,0,0,1,0,0
352/0985,425,0,0,0,0,0,0
352/0992,426,0,0,0,0,0,0
352/1020,428,0,0,0,1,0,0
352/1020,427,0,0,0,0,0,0
352/1027,430,0,0,0,0,0,0
352/1027,429,0,0,0,1,0,0
352/1028,432,0,0,0,1,0,0
352/1028,431,0,0,0,0,0,0
353/0001,433,0,1,1,0,0,0
353/0020,434,0,3,3,0,0,0
353/0026,435,0,1,1,0,0,0
353/0030,436,1,2,3,0,0,0
353/0043,437,0,0,0,0,0,0
353/0053,438,0,0,0,0,0,0
353/0072,439,0,0,0,0,0,0
353/0081,440,0,0,0,0,0,0
353/0087,441,2,2,4,1,0,0
353/0098,442,0,0,0,1,0,0
353/0112,443,0,0,0,1,0,0
353/0138,444,0,0,0,0,0,0
353/0151,445,0,0,0,1,0,0
353/0151,447,0,0,0,0,0,0
353/0151,446,0,0,0,0,0,0
353/0180,448,0,0,0,0,0,0
353/0194,449,0,0,0,1,0,0
353/0210,450,0,0,0,0,0,0
353/0222,451,0,0,0,0,0,0
353/0230,452,0,0,0,0,1,0
353/0232,453,0,0,0,0,1,0
353/0252,454,2,0,2,0,1,0
353/0313,455,0,1,1,0,0,0
353/0322,456,0,0,0,1,0,0
353/0325,457,1,0,1,0,0,0
353/0346,458,0,0,0,0,1,0
353/0360,459,0,0,0,0,0,0
353/0364,460,0,0,0,0,0,0
353/0368,461,0,0,0,1,0,0
353/0373,462,0,0,0,0,0,0
353/0373,463,0,0,0,0,0,0
353/0382,464,1,0,1,0,0,0
353/0391,466,0,0,0,0,0,0
353/0391,465,0,0,0,0,0,0
353/0391,467,0,0,0,0,0,0
353/0427,468,0,0,0,0,0,0
353/0436,470,0,0,0,1,0,0
