country,year,ue,inf,cbi,cwagebrg,GDP_PC,open,uden,lcab,wagexcbi,HasLCAB
1,1979,5.8,8.5,.750044,0,9.657394999999999,.164178,.2299,0,0,1
1,1980,7,9.6,.750044,0,9.635281000000001,.178188,.2149,0,0,1
1,1981,7.5,8.9,.750044,0,9.648724,.168966,.208,0,0,1
1,1982,9.5,6.9,.750044,0,9.608915,.149646,.1945,0,0,1
1,1983,9.5,3.3,.750044,0,9.634954,.139648,.1831,0,0,1
1,1984,7.4,3.7,.750044,0,9.696156,.150995,.1673,0,0,1
1,1985,7.1,3.2,.750044,0,9.715349,.141451,.1608,0,0,1
1,1986,6.9,2.7,.750044,0,9.731987,.142776,.1571,0,0,1
1,1987,6.1,3.3,.750044,0,9.751849999999999,.149467,.154,0,0,1
1,1988,5.4,3.4,.750044,0,9.781885000000001,.159572,.1527,0,0,1
1,1989,5.2,5,.750044,0,9.803391,.163163,.1495,0,0,1
1,1990,5.5,4.2,.750044,0,9.801123,.164894,.148872,0,0,1
2,1955,2.7,1.6,.409401,.75,7.627057,.192832,.3559,0,.30705076,1
2,1956,2.5,5,.409401,.75,7.690743,.218956,.3412,0,.30705076,1
2,1957,2,6.3,.409401,.75,7.753624,.236876,.3354,0,.30705076,1
2,1958,2.1,-1.7,.409401,.75,7.798113,.184261,.3305,0,.30705076,1
2,1959,2.2,2.9,.409401,.75,7.874359,.19257,.3244,0,.30705076,1
2,1960,1.7,6,.409401,.75,7.990915,.192192,.3298,0,.30705076,1
2,1961,1.5,7.9,.409401,.75,8.117013999999999,.187051,.345,0,.30705076,1
2,1962,1.3,3.6,.409401,.75,8.175829,.17313,.3538,0,.30705076,1
2,1963,1.3,4.5,.409401,.75,8.265136,.17473,.3426,0,.30705076,1
2,1964,1.2,4.4,.409401,.75,8.376321000000001,.178058,.3479,0,.30705076,1
2,1965,1.3,5.1,.409401,.75,8.409831000000001,.182042,.346,0,.30705076,1
2,1966,1.4,5,.409401,.75,8.501875999999999,.182028,.3401,0,.30705076,1
2,1967,1.3,5.8,.409401,.75,8.597296999999999,.177908,.3372,0,.30705076,1
2,1968,1.2,5.2,.409401,.75,8.712102,.176423,.3387,0,.30705076,1
2,1969,1.1,4.8,.409401,.75,8.805825,.179402,.3455,0,.30705076,1
2,1970,1.1,7.3,.409401,.75,8.896587999999999,.187484,.3449,0,.30705076,1
2,1971,1.2,5.2,.409401,.75,8.923990999999999,.189626,.3393,0,.30705076,1
2,1972,1.4,5.2,.409401,.75,8.989568999999999,.17355,.336,0,.30705076,1
2,1973,1.3,11.9,.409401,.75,9.052398999999999,.181648,.3285,0,.30705076,1
2,1974,1.4,20.6,.409401,.75,9.023408,.255408,.3359,0,.30705076,1
2,1975,1.9,7.8,.409401,.75,9.033723,.227524,.3361,0,.30705076,1
2,1976,2,6.4,.409401,.75,9.068546,.235086,.3275,0,.30705076,1
2,1977,2,5.7,.409401,.75,9.104535,.219694,.3206,0,.30705076,1
2,1978,2.2,4.6,.409401,.75,9.142061999999999,.182257,.3156,0,.30705076,1
2,1979,2.1,2.6,.409401,.75,9.185638000000001,.211138,.3083,0,.30705076,1
2,1980,2,2.8,.409401,.75,9.217515000000001,.25555,.3028,0,.30705076,1
2,1981,2.2,2.7,.409401,.75,9.247636,.251714,.2996,0,.30705076,1
2,1982,2.4,1.8,.409401,.75,9.271906,.247926,.2958,0,.30705076,1
2,1983,2.6,.4,.409401,.75,9.291091,.230421,.2869,0,.30705076,1
2,1984,2.7,1.2,.409401,.75,9.327234000000001,.241713,.2816,0,.30705076,1
2,1985,2.6,1.5,.409401,.75,9.373393999999999,.227936,.2779,0,.30705076,1
2,1986,2.8,1.8,.409401,.75,9.392329,.169876,.2715,0,.30705076,1
2,1987,2.8,-.2,.409401,.75,9.427868,.158011,.2667,0,.30705076,1
2,1988,2.5,.4,.409401,.75,9.484633000000001,.155979,.2605,0,.30705076,1
2,1989,2.3,1.5,.409401,.75,9.525589,.168613,.2536,0,.30705076,1
2,1990,2.1,1.5,.409401,.75,9.570180000000001,.177396,.247976,0,.30705076,1
3,1955,4.3,2.1,.931438,.75,8.543445999999999,.2776,.3657,0,.69857848,1
3,1956,3.5,3,.931438,.75,8.592115,.296843,.3597,0,.69857848,1
