dirdyadID,year,ln_ref_flow,pop_diff,distance,regimedif,wardiff,pop_between,pop_within,regime_between,regime_within,war_between,war_within
452436,1992,-0.693147182,0.007659001,0.573000014,-0.449999988,-1,0.008612701,-0.000953699,-0.069999993,-0.379999995,-0.5,-0.5
520570,1992,-0.693147182,0.007006,2.471999884,0.349999994,1,0.007529,-0.000523,-0.225000009,0.574999988,0.5,0.5
616552,1992,-0.693147182,-0.00192,4.015999794,0.050000001,0,-0.0023115,0.0003915,0.135000005,-0.085000008,-0.400000006,0.400000006
522475,1992,-0.693147182,-0.101573996,2.451999903,-0.100000001,1,-0.109322898,0.007748902,-0.07,-0.030000001,0.200000003,0.800000012
551590,1992,-0.693147182,0.006471,1.949000001,-0.200000003,0,0.0072801,-0.0008091,-0.349999994,0.149999991,0,0
436435,1992,-0.693147182,0.006157,1.243000031,0.699999988,1,0.0071855,-0.0010285,0.430000007,0.269999981,0.5,0.5
600625,1992,-0.693147182,-0.001775999,2.757999897,0,-1,-0.0011757,-0.000600298,0.02,-0.02,-1,0
500560,1992,-0.693147182,-0.021023002,2.539999962,-0.649999976,-1,-0.020573499,-0.000449503,-0.644999981,-0.004999995,1,-2
580553,1992,-0.693147182,0.004681,0.972000003,0.899999976,0,0.004977,-0.000296,0.219999999,0.679999948,0,0
436541,1992,-0.693147182,-0.006526001,3.414999962,0.699999988,0,-0.0082185,0.001692499,-0.050000008,0.75,0.400000006,-0.400000006
433435,1992,-0.693147182,0.005597,0,0.25,1,0.0062711,-0.0006741,0.340000004,-0.090000004,1,0
420541,1992,-0.693147182,-0.013912001,4.285999775,0.699999988,-1,-0.0166479,0.002735899,-0.325000018,1.024999976,-0.100000001,-0.899999976
432452,1992,-0.693147182,-0.006107001,0.72299999,0.400000006,0,-0.0074,0.001293,0.265000015,0.13499999,0.100000001,-0.100000001
580520,1992,-0.693147182,0.00462,1.458999991,0.449999988,-1,0.0054586,-0.0008386,0.405000001,0.044999987,-0.600000024,-0.399999976
404560,1992,-0.693147182,-0.037813999,3.875,-0.600000024,-1,-0.0394734,0.001659401,-0.324999988,-0.275000036,0,-1
420510,1992,-0.693147182,-0.026423,4.084000111,0.699999988,0,-0.0297783,0.0033553,-0.050000004,0.75,0,0
553572,1992,-0.693147182,0.00799,0.870000005,0.050000001,0,0.0091337,-0.0011437,0.639999986,-0.589999974,0,0
501540,1992,-0.693147182,0.015091001,1.705000043,-0.25,-1,0.0182175,-0.003126499,-0.07,-0.180000007,-2.299999952,1.299999952
552600,1992,-0.693147182,-0.015137002,4.368999958,0.050000001,0,-0.0156391,0.000502098,0.035,0.015000001,0.400000006,-0.400000006
520482,1992,-0.693147182,0.005818999,1.855999947,0.300000012,1,0.0062254,-0.000406401,-0.194999993,0.495000005,0.5,0.5
540510,1992,-0.693147182,-0.016692001,1.789999962,0.300000012,1,-0.019419501,0.002727499,-0.01,0.310000002,2.299999952,-1.299999952
552500,1992,-0.693147182,-0.007385999,1.25999999,0.050000001,0,-0.008581401,0.001195402,-0.079999998,0.129999995,-0.800000012,0.800000012
