State,StateID,Year,MurderPer100K,DeathPenalty,Population,UrbanPct,AvgEducation,SchoolSpendEq,AvgIdeol,CitizenIdeol,EliteIdeol
Connecticut,7,1985,3.8,1,3175,78.800003,12.80575,72,66.980003,70.426033,71.418877
Connecticut,7,1986,4.5999999,1,3194,78.800003,12.9047,72,76.889999,79.121964,79.204643
Connecticut,7,1987,4.9000001,1,3212,78.800003,13.00364,72,76.889999,77.973579,90.125
Connecticut,7,1988,5.4000001,1,3233,78.800003,13.10259,72,76.889999,81.913742,93.5
Connecticut,7,1989,5.9000001,1,3283,78.800003,13.20153,72,64.830002,72.487221,91.019287
Connecticut,7,1990,5.0999999,1,3287,87,13.30048,72,67.18,66.988129,85.626183
Connecticut,7,1991,5.6999998,1,3291,87,13.40016,72,67.18,61.638069,70.900497
Connecticut,7,1992,5.0999999,1,3279,87,13.5006,72,67.580002,66.204002,73.457512
Connecticut,7,1993,6.3000002,1,3278,87,13.60178,72,67.580002,62.474499,71.138313
Connecticut,7,1994,6.5999999,1,3275,87,13.70373,72,57.869999,55.51228,61.482552
Delaware,8,1985,4.8000002,1,618,70.599998,12.56744,92,52.349998,46.20871,33.767681
Delaware,8,1986,4.9000001,1,626,70.599998,12.65357,92,36.810001,48.824249,33.745121
Delaware,8,1987,5.0999999,1,637,70.599998,12.73971,92,36.810001,59.77681,48.868599
Delaware,8,1988,5.1999998,1,648,70.599998,12.82585,92,27.379999,48.765591,40.980789
Delaware,8,1989,5.0999999,1,660,70.599998,12.91199,92,27.379999,49.569771,25.506399
Delaware,8,1990,5,1,658,79.199997,12.99812,92,27.379999,57.284389,42.673779
Delaware,8,1991,5.4000001,1,666,79.199997,13.08484,92,27.379999,55.069382,37.716461
Delaware,8,1992,4.5999999,1,690,79.199997,13.17212,92,27.299999,59.661789,41.745731
Delaware,8,1993,5,1,698,79.199997,13.26,92,27.299999,54.858509,73.263412
Delaware,8,1994,4.6999998,1,706,79.199997,13.34846,92,38.07,54.824108,72.134758
Florida,9,1985,11.4,1,11367,84.300003,12.31098,79,40.970001,38.587479,60
Florida,9,1986,11.7,1,11688,84.300003,12.39747,79,43.639999,35.669258,56.846149
Florida,9,1987,11.4,1,12022,84.300003,12.48395,79,43.639999,40.333389,37.35714
Florida,9,1988,11.4,1,12335,84.300003,12.57043,79,40.5,41.697769,39.10714
Florida,9,1989,11.1,1,12638,84.300003,12.65691,79,40.5,43.43346,41.22744
Florida,9,1990,10.7,1,12938,88,12.74339,79,40.5,41.88308,40.13055
Florida,9,1991,9.3999996,1,13277,88,12.83047,79,40.5,42.77663,66.560677
Florida,9,1992,9,1,13510,88,12.91814,79,43.049999,44.751598,67.29409
Florida,9,1993,8.8999996,1,13726,88,13.0064,79,43.049999,46.800961,70.402603
Florida,9,1994,8.3000002,1,13953,88,13.09527,79,43.049999,42.85112,62.02034
Georgia,10,1985,10.4,1,5975,62.400002,11.85983,86,33.220001,25.48201,34.388889
Georgia,10,1986,11.2,1,6101,62.400002,11.9851,86,33.220001,23.633261,32.111111
Georgia,10,1987,11.8,1,6227,62.400002,12.11036,86,33.220001,39.64835,55.25
